fecha,descripcion,monto
2026-01-03,Supermercado Rey compra semanal,-84.50
2026-01-04,Pago Uber viaje al aeropuerto,-12.30
2026-01-05,Deposito nomina empresa,2100.00
2026-01-07,Netflix suscripcion mensual,-13.99
2026-01-08,Farmacia Arrocha medicamentos,-27.80
2026-01-10,Gasolina Delta estacion 24,-45.00
2026-01-12,Restaurante La Tapa cena,-56.20
2026-01-14,Cable Onda internet hogar,-39.90
2026-01-15,Cafe Unido tarde de trabajo,-6.75
2026-01-18,Supermercado Xtra despensa,-102.40
2026-01-20,Consulta medica clinica San Fernando,-70.00
2026-01-22,Cine Multiplaza entradas,-18.00
2026-01-24,Uber Eats pedido almuerzo,-15.60
2026-01-26,Pago tarjeta gimnasio Powerclub,-35.00
2026-01-28,Libreria Universal libro tecnico,-42.00
2026-02-02,Supermercado Rey compra semanal,-91.10
2026-02-03,Metro bus recarga tarjeta,-10.00
2026-02-05,Deposito nomina empresa,2100.00
2026-02-06,Spotify Premium familiar,-16.99
2026-02-09,Gasolina Puma estacion via,-48.30
2026-02-11,Farmacia Metro receta,-19.50
2026-02-13,Restaurante Athens pizza,-33.40
2026-02-15,Cable Onda internet hogar,-39.90
2026-02-17,Supermercado 99 compra rapida,-58.75
2026-02-19,Curso online Platzi anual,-199.00
2026-02-21,Uber viaje reunion cliente,-14.20
2026-02-24,Cafe Unido reunion,-9.10
2026-02-26,Consulta dental clinica sonrisas,-85.00
2026-02-27,Cine Albrook funcion,-16.00
